7.6,4.8,2.0,average_player
5.7,3.3,0.6,average_player
3.3,1.3,0.7,average_player
14.5,2.6,3.1,scorer
3.2,0.7,0.7,average_player
9.6,6.3,1.1,average_player
1.1,0.7,1.1,average_player
2.4,0.8,0.0,average_player
6.8,4.8,0.7,average_player
8.1,4.7,1.3,average_player
3.0,2.4,0.5,average_player
7.4,4.5,1.0,average_player
9.2,6.3,1.4,average_player
5.4,3.5,0.6,average_player
3.9,2.8,0.5,average_player
1.9,1.3,0.3,average_player
0.9,1.6,0.1,average_player
27.4,13.5,4.3,all_star
6.6,2.8,3.0,average_player
0.7,0.4,0.1,average_player
8.1,3.1,0.8,average_player
3.8,0.9,0.9,average_player
2.5,1.1,0.4,average_player
4.4,3.3,0.6,average_player
7.8,1.8,3.0,average_player
2.4,2.2,0.4,average_player
4.1,0.6,1.1,average_player
2.6,1.8,0.2,average_player
6.7,3.4,1.8,average_player
9.1,2.4,2.7,average_player
4.0,3.0,0.2,average_player
4.0,2.5,0.7,average_player
3.4,2.5,0.6,average_player
7.2,7.6,1.8,average_player
9.9,8.8,1.6,average_player
4.5,1.5,0.7,average_player
5.3,1.1,1.3,average_player
4.7,2.8,0.8,average_player
2.3,1.0,0.7,average_player
3.1,2.2,0.8,average_player
7.0,1.6,2.0,average_player
4.1,3.5,0.4,average_player
8.8,5.5,1.3,average_player
13.4,3.1,2.0,scorer
2.8,1.5,0.6,average_player
4.7,4.4,0.6,average_player
1.3,0.7,0.3,average_player
6.2,3.9,0.3,average_player
4.1,2.4,0.5,average_player
6.0,2.8,0.7,average_player
1.8,0.5,0.2,average_player
10.8,2.8,3.5,scorer
2.7,2.1,0.3,average_player
4.4,1.6,0.8,average_player
3.6,0.7,0.8,average_player
6.0,2.0,3.6,average_player
2.1,0.8,0.6,average_player
3.5,1.0,0.9,average_player
2.9,1.7,0.3,average_player
7.9,2.9,1.2,average_player
3.5,1.2,0.5,average_player
3.0,1.3,0.8,average_player
5.5,2.8,0.4,average_player
8.9,3.5,3.5,average_player
8.8,6.5,0.8,average_player
2.0,0.6,0.9,average_player
4.5,2.0,0.5,average_player
4.2,3.6,0.6,average_player
14.8,8.1,1.4,scorer
2.9,3.3,0.7,average_player
9.5,5.3,0.7,average_player
4.3,1.6,1.3,average_player
6.8,2.5,2.1,average_player
10.0,6.7,1.5,average_player
1.5,1.1,0.3,average_player
3.8,0.4,0.6,average_player
3.2,2.0,0.7,average_player
2.1,2.7,0.4,average_player
2.6,1.5,0.9,average_player
11.2,5.9,1.1,scorer
0.7,0.7,0.0,average_player
18.7,9.9,2.0,scorer
5.4,4.3,0.6,average_player
4.7,2.7,0.4,average_player
0.3,0.5,0.0,average_player
5.8,2.1,2.2,average_player
3.9,0.8,0.8,average_player
2.6,1.4,0.6,average_player
5.1,4.5,0.7,average_player
12.7,8.6,1.7,scorer
3.0,2.6,0.8,average_player
3.5,1.4,0.6,average_player
1.3,1.0,0.3,average_player
1.9,1.7,0.1,average_player
2.5,1.7,0.6,average_player
11.8,2.2,2.4,scorer
2.0,1.5,0.5,average_player
4.0,0.0,0.0,average_player
1.4,1.4,0.1,average_player
1.4,1.1,0.4,average_player
10.8,3.1,2.6,scorer
9.5,5.0,0.9,average_player
2.4,1.3,1.2,average_player
7.0,1.9,2.2,average_player
0.9,0.9,0.3,average_player
5.4,5.2,0.7,average_player
2.7,1.3,0.7,average_player
2.2,0.9,1.4,average_player
3.6,1.9,0.2,average_player
3.2,1.3,1.5,average_player
15.2,5.1,2.7,scorer
18.4,5.2,7.5,playmaker
10.6,5.2,1.0,scorer
17.3,5.0,5.0,scorer
2.2,1.0,1.0,average_player
2.0,0.3,0.4,average_player
4.0,3.4,1.1,average_player
5.3,3.0,0.8,average_player
5.3,3.6,0.7,average_player
2.8,2.7,0.5,average_player
2.1,1.1,0.4,average_player
15.9,3.0,3.1,scorer
2.9,1.0,0.7,average_player
2.1,1.4,1.2,average_player
11.7,4.3,7.8,playmaker
2.0,0.0,0.0,average_player
14.9,10.5,2.4,big_man
4.4,4.1,0.9,average_player
3.9,1.8,1.0,average_player
2.5,1.2,0.1,average_player
1.8,2.1,0.4,average_player
2.0,1.2,0.2,average_player
8.6,2.8,2.8,average_player
0.6,0.3,0.4,average_player
2.7,2.1,0.4,average_player
3.1,2.0,0.4,average_player
12.5,9.1,1.4,scorer
9.1,5.3,1.4,average_player
2.6,0.9,1.1,average_player
4.7,1.7,1.1,average_player
2.9,1.5,0.6,average_player
4.1,0.6,1.4,average_player
8.7,6.0,1.1,average_player
17.7,4.9,2.5,scorer
1.1,1.1,0.0,average_player
6.5,3.3,2.8,average_player
15.6,9.4,2.1,scorer
4.5,3.8,0.6,average_player
3.2,0.8,1.8,average_player
2.2,1.8,0.6,average_player
2.6,0.8,0.1,average_player
4.4,3.0,0.8,average_player
2.8,2.5,0.8,average_player
2.0,2.5,0.3,average_player
15.1,22.5,4.3,big_man
1.0,1.0,0.0,average_player
0.6,0.9,0.1,average_player
7.5,2.9,2.0,average_player
2.6,1.9,0.4,average_player
1.3,1.0,0.7,average_player
3.3,2.0,0.5,average_player
3.5,2.1,0.5,average_player
2.5,1.4,1.1,average_player
1.3,0.7,0.3,average_player
0.0,0.5,0.5,average_player
3.0,0.0,1.0,average_player
12.2,3.8,4.6,scorer
2.3,1.3,0.4,average_player
2.4,0.5,0.6,average_player
9.0,9.1,1.7,average_player
0.0,0.0,0.5,average_player
4.2,2.2,0.5,average_player
7.5,4.2,0.9,average_player
4.4,1.4,1.4,average_player
2.0,2.7,0.9,average_player
3.5,1.8,0.5,average_player
2.8,1.0,0.8,average_player
1.8,2.4,0.0,average_player
8.6,9.9,1.1,average_player
3.3,2.4,1.0,average_player
2.3,2.3,0.2,average_player
1.3,0.4,0.3,average_player
1.0,1.3,0.0,average_player
5.8,1.8,1.0,average_player
1.1,1.1,0.8,average_player
9.0,5.9,1.1,average_player
2.3,0.4,0.1,average_player
3.5,4.3,0.6,average_player
7.4,3.5,4.3,average_player
3.5,1.7,0.2,average_player
11.1,2.9,3.2,scorer
8.1,6.5,1.5,average_player
9.0,2.2,2.3,average_player
3.2,1.7,1.4,average_player
6.1,5.3,0.7,average_player
1.4,1.4,0.1,average_player
3.7,1.0,1.2,average_player
8.1,2.5,2.2,average_player
6.3,1.5,0.4,average_player
3.3,2.1,0.5,average_player
1.0,1.8,0.2,average_player
7.7,6.0,0.9,average_player
6.1,2.9,2.1,average_player
2.0,1.5,0.4,average_player
6.7,4.6,1.3,average_player
0.5,2.5,0.5,average_player
11.3,8.0,4.2,scorer
9.2,4.3,3.3,average_player
18.0,6.9,3.0,scorer
10.3,2.8,2.4,scorer
13.8,11.2,2.2,big_man
0.6,1.2,0.2,average_player
15.8,9.1,1.6,scorer
6.7,2.6,1.9,average_player
10.7,7.8,1.1,scorer
5.6,1.9,1.1,average_player
3.5,3.5,0.3,average_player
19.2,6.6,2.3,scorer
4.2,7.3,0.8,average_player
11.5,4.7,3.5,scorer
7.1,4.6,1.0,average_player
2.2,1.2,0.2,average_player
9.8,3.0,2.3,average_player
4.2,0.9,0.9,average_player
4.3,1.1,1.8,average_player
4.9,3.3,0.4,average_player
1.3,0.4,0.4,average_player
7.3,5.7,0.6,average_player
18.6,8.8,2.0,scorer
4.7,1.6,1.4,average_player
1.8,2.1,0.5,average_player
7.4,2.8,2.0,average_player
4.4,1.1,0.8,average_player
3.6,1.9,0.8,average_player
10.2,3.9,1.1,scorer
7.7,5.1,1.2,average_player
3.0,1.8,0.4,average_player
4.3,3.9,0.5,average_player
26.4,16.2,3.0,all_star
5.5,5.1,0.8,average_player
6.3,3.1,0.5,average_player
6.6,5.2,1.0,average_player
2.1,1.6,1.0,average_player
5.9,6.3,0.6,average_player
1.4,0.4,0.7,average_player
5.8,1.2,1.2,average_player
6.3,7.1,0.7,average_player
8.0,6.2,0.8,average_player
6.2,5.6,0.7,average_player
17.0,9.5,1.6,scorer
7.8,3.6,3.7,average_player
1.0,0.5,0.0,average_player
13.4,5.5,1.8,scorer
0.0,0.0,0.5,average_player
18.5,12.1,3.1,big_man
13.9,7.8,1.6,scorer
10.8,3.7,2.8,scorer
16.8,6.3,1.2,scorer
14.4,4.1,3.7,scorer
4.7,3.8,0.9,average_player
2.0,0.0,0.0,average_player
3.3,1.5,0.8,average_player
2.5,2.4,0.2,average_player
5.8,4.1,0.7,average_player
6.0,3.5,0.6,average_player
7.8,3.8,1.9,average_player
4.0,2.0,0.8,average_player
10.4,11.3,1.1,big_man
0.9,0.9,0.1,average_player
6.8,2.2,2.5,average_player
4.8,1.5,0.5,average_player
3.2,2.3,0.3,average_player
2.0,3.0,3.0,average_player
2.5,2.5,0.4,average_player
8.4,3.3,3.4,average_player
2.8,4.2,0.8,average_player
10.9,6.9,1.7,scorer
5.9,2.8,3.8,average_player
6.5,3.3,1.9,average_player
9.9,2.9,3.3,average_player
2.3,1.9,0.4,average_player
5.6,2.2,2.2,average_player
3.8,0.9,1.4,average_player
7.2,3.5,1.1,average_player
5.9,1.7,2.2,average_player
7.2,4.3,1.2,average_player
6.2,5.2,0.6,average_player
1.3,2.3,0.0,average_player
3.1,1.6,0.7,average_player
4.5,2.3,0.5,average_player
1.2,0.8,0.9,average_player
0.7,2.0,2.3,average_player
7.1,4.6,0.6,average_player
22.8,8.6,2.3,all_star
3.3,1.0,1.3,average_player
1.3,0.7,0.0,average_player
13.5,3.4,3.7,scorer
5.5,1.3,1.8,average_player
10.1,4.8,2.0,scorer
2.4,1.4,1.2,average_player
8.0,1.7,2.8,average_player
8.1,4.8,0.7,average_player
2.0,1.0,3.0,average_player
10.9,8.9,0.7,scorer
13.7,9.8,1.7,scorer
11.0,8.1,1.8,scorer
5.5,6.6,0.4,average_player
5.5,2.4,1.4,average_player
5.5,3.1,2.0,average_player
9.8,4.1,2.3,average_player
1.6,0.2,0.0,average_player
5.1,1.3,1.6,average_player
3.4,2.4,1.7,average_player
9.1,6.0,0.9,average_player
4.6,1.4,2.6,average_player
8.0,2.6,3.3,average_player
1.3,2.3,0.3,average_player
2.4,1.4,0.1,average_player
3.5,2.5,0.4,average_player
7.8,2.8,2.4,average_player
2.6,1.8,0.8,average_player
2.8,2.5,1.1,average_player
4.4,1.6,1.9,average_player
4.8,2.0,1.0,average_player
8.9,7.4,0.9,average_player
6.7,7.2,1.1,average_player
2.0,1.9,0.4,average_player
1.9,2.5,0.4,average_player
1.5,0.4,1.0,average_player
3.3,4.2,0.3,average_player
6.3,3.2,1.8,average_player
5.1,2.6,1.6,average_player
13.3,4.2,2.6,scorer
10.2,4.2,4.3,scorer
2.6,2.1,0.1,average_player
1.7,1.1,1.3,average_player
8.1,5.3,0.8,average_player
7.9,5.6,0.9,average_player
5.1,2.2,2.6,average_player
17.8,3.9,3.0,scorer
6.8,3.4,2.1,average_player
4.0,2.1,0.9,average_player
5.1,5.2,0.7,average_player
8.6,5.2,1.9,average_player
4.5,3.4,0.5,average_player
8.2,5.6,0.7,average_player
7.1,3.5,2.1,average_player
8.4,6.4,1.4,average_player
9.8,3.4,4.2,average_player
1.8,1.2,1.6,average_player
8.0,4.2,5.7,playmaker
8.1,2.7,3.7,average_player
7.4,3.4,0.7,average_player
6.1,3.1,1.7,average_player
1.1,0.6,0.6,average_player
4.3,4.7,0.4,average_player
9.4,3.1,3.8,average_player
8.3,8.4,1.4,average_player
8.4,4.1,1.8,average_player
7.8,4.9,0.9,average_player
1.6,2.0,0.5,average_player
4.0,5.2,3.6,average_player
19.2,8.9,1.7,scorer
2.3,1.1,0.4,average_player
2.5,1.9,0.4,average_player
5.0,3.6,2.3,average_player
6.5,2.5,1.8,average_player
7.0,4.4,1.0,average_player
19.4,11.3,2.5,big_man
2.0,0.0,0.0,average_player
17.5,7.5,3.2,scorer
5.7,2.9,1.1,average_player
14.4,9.4,2.2,scorer
4.0,4.2,0.8,average_player
4.2,1.8,0.4,average_player
4.6,4.5,0.5,average_player
5.8,4.8,1.1,average_player
3.2,1.5,1.2,average_player
1.3,0.0,0.0,average_player
1.0,1.0,0.0,average_player
5.7,4.4,0.6,average_player
10.0,8.2,2.5,average_player
10.6,9.2,2.8,scorer
4.8,4.3,0.7,average_player
7.1,2.1,2.1,average_player
3.9,1.6,1.4,average_player
2.5,1.1,1.0,average_player
1.9,1.0,0.5,average_player
8.2,4.6,1.4,average_player
4.0,2.4,1.1,average_player
13.0,11.9,1.8,big_man
7.2,2.5,2.7,average_player
9.3,5.5,1.8,average_player
11.1,9.6,3.0,scorer
2.8,4.8,0.8,average_player
10.3,3.9,4.8,scorer
6.8,4.7,1.3,average_player
3.6,5.3,0.9,average_player
10.4,6.9,1.9,scorer
1.8,0.5,0.5,average_player
3.3,1.7,0.7,average_player
8.0,4.5,1.6,average_player
9.1,4.4,5.4,playmaker
0.0,2.0,1.0,average_player
8.3,2.6,2.9,average_player
9.3,6.3,2.1,average_player
12.0,9.7,1.7,scorer
8.3,3.8,1.3,average_player
1.3,2.9,0.0,average_player
7.2,4.6,1.0,average_player
16.4,17.3,5.3,big_man
4.0,3.2,0.3,average_player
2.0,1.5,0.8,average_player
0.0,1.0,1.0,average_player
1.5,2.1,0.2,average_player
9.7,3.1,2.1,average_player
1.4,1.2,0.0,average_player
6.3,2.6,1.0,average_player
1.3,1.3,0.2,average_player
6.0,4.5,1.7,average_player
6.3,5.1,0.7,average_player
5.0,5.3,1.2,average_player
7.1,5.7,1.5,average_player
1.3,0.3,0.3,average_player
7.0,2.5,2.4,average_player
2.7,2.5,0.5,average_player
10.9,6.6,2.0,scorer
6.8,4.1,2.0,average_player
3.2,1.8,0.8,average_player
8.2,3.3,2.6,average_player
8.7,4.0,1.9,average_player
2.0,1.0,0.4,average_player
4.1,3.5,0.5,average_player
12.2,4.5,3.2,scorer
2.9,2.5,0.3,average_player
4.7,5.5,0.6,average_player
4.9,2.6,1.7,average_player
2.0,1.3,0.1,average_player
12.3,2.4,2.6,scorer
6.7,5.9,1.8,average_player
0.7,1.3,0.3,average_player
3.0,0.6,0.6,average_player
2.5,1.1,1.1,average_player
3.7,0.9,0.9,average_player
3.8,2.9,1.1,average_player
1.8,0.5,0.1,average_player
23.1,13.4,2.8,all_star
4.7,3.8,0.8,average_player
2.8,0.8,0.3,average_player
4.1,1.3,1.0,average_player
9.8,6.2,1.6,average_player
10.3,5.2,2.9,scorer
9.5,4.7,2.4,average_player
14.8,2.8,2.0,scorer
3.0,2.0,0.0,average_player
11.0,8.0,2.1,scorer
7.3,7.0,2.1,average_player
0.9,0.5,0.2,average_player
7.8,4.0,2.3,average_player
3.6,2.4,0.8,average_player
3.3,1.3,1.2,average_player
5.2,5.5,1.6,average_player
3.2,1.9,0.9,average_player
14.3,2.9,4.9,scorer
1.6,1.9,0.6,average_player
7.3,3.9,4.0,average_player
3.9,3.0,0.9,average_player
9.8,1.8,2.0,average_player
2.3,1.6,1.0,average_player
7.0,2.2,2.6,average_player
0.8,0.8,0.4,average_player
7.2,7.2,1.7,average_player
10.2,5.1,2.9,scorer
0.2,0.5,0.8,average_player
1.6,2.1,0.3,average_player
3.5,0.5,4.0,average_player
1.3,1.5,1.8,average_player
1.7,1.4,0.9,average_player
9.8,2.6,1.2,average_player
4.0,2.2,1.9,average_player
2.0,0.0,0.0,average_player
8.1,3.3,2.7,average_player
3.3,3.2,0.5,average_player
4.4,3.8,0.4,average_player
7.0,6.0,1.7,average_player
13.2,7.8,3.2,scorer
9.2,6.9,2.3,average_player
7.5,2.8,2.1,average_player
5.6,2.0,1.6,average_player
11.3,2.7,2.6,scorer
7.7,2.5,2.0,average_player
4.3,2.4,1.2,average_player
7.7,3.7,2.6,average_player
0.7,0.3,0.3,average_player
6.8,4.1,1.2,average_player
1.5,0.5,0.8,average_player
0.7,0.1,0.7,average_player
9.4,5.4,3.2,average_player
2.8,1.8,0.6,average_player
11.2,3.7,2.1,scorer
6.7,3.9,2.6,average_player
1.5,1.5,0.5,average_player
2.0,1.0,0.0,average_player
16.4,5.3,1.2,scorer
3.3,0.8,1.0,average_player
0.0,0.0,0.0,average_player
6.8,6.9,1.5,average_player
6.1,1.5,2.0,average_player
2.6,3.4,1.2,average_player
8.2,6.2,1.5,average_player
6.1,3.9,1.0,average_player
2.9,0.8,1.1,average_player
1.5,1.1,0.3,average_player
4.8,2.1,1.8,average_player
6.7,5.5,0.9,average_player
10.2,8.5,1.5,scorer
12.1,7.2,1.6,scorer
0.0,1.0,0.0,average_player
3.4,0.4,1.4,average_player
0.8,1.3,0.5,average_player
1.2,1.6,0.8,average_player
1.9,1.3,0.0,average_player
12.2,6.0,2.9,scorer
7.2,3.5,3.2,average_player
1.1,0.2,0.3,average_player
2.5,2.4,0.8,average_player
3.3,2.5,1.2,average_player
3.1,1.6,0.6,average_player
1.6,1.7,0.5,average_player
9.2,3.0,3.3,average_player
3.7,1.3,1.1,average_player
0.5,0.3,0.5,average_player
4.9,2.9,0.6,average_player
4.6,2.4,2.1,average_player
9.0,4.2,2.0,average_player
3.7,1.3,1.1,average_player
3.5,1.1,0.7,average_player
7.9,1.8,3.2,average_player
4.6,1.8,1.8,average_player
8.8,2.2,1.3,average_player
0.9,0.8,0.2,average_player
5.0,4.0,0.0,average_player
12.1,4.5,2.1,scorer
3.1,1.4,1.1,average_player
2.8,1.2,0.9,average_player
5.8,4.6,1.6,average_player
11.9,3.3,2.7,scorer
1.8,1.7,0.6,average_player
9.3,5.8,1.3,average_player
8.7,6.2,2.2,average_player
8.4,3.6,2.8,average_player
8.8,4.3,1.2,average_player
7.5,3.1,1.9,average_player
7.6,6.3,2.5,average_player
2.3,1.0,1.2,average_player
7.2,3.2,2.1,average_player
4.5,1.3,2.0,average_player
3.7,2.6,0.8,average_player
8.2,2.2,2.2,average_player
5.8,2.9,1.3,average_player
6.0,3.0,1.0,average_player
4.9,2.4,2.9,average_player
1.2,2.1,0.4,average_player
10.6,7.6,1.4,scorer
7.6,4.5,2.5,average_player
5.8,3.3,2.0,average_player
7.5,3.9,1.9,average_player
0.3,1.3,0.3,average_player
4.2,2.0,1.0,average_player
7.1,1.6,1.5,average_player
3.0,2.3,0.8,average_player
5.2,2.3,2.1,average_player
10.5,6.0,1.4,scorer
3.9,1.7,1.0,average_player
6.3,1.7,1.9,average_player
5.4,3.6,1.1,average_player
3.9,4.3,0.5,average_player
2.3,2.3,0.4,average_player
3.5,0.3,2.0,average_player
1.5,1.3,1.0,average_player
5.2,1.5,1.4,average_player
4.9,1.0,2.0,average_player
5.3,3.1,1.7,average_player
3.7,1.8,2.0,average_player
4.0,4.3,1.0,average_player
9.2,2.4,2.3,average_player
3.1,1.1,0.3,average_player
8.1,5.4,1.9,average_player
2.5,2.8,0.7,average_player
4.7,1.4,1.4,average_player
9.0,5.0,1.9,average_player
2.5,1.6,0.4,average_player
3.8,1.8,0.8,average_player
2.8,1.8,1.1,average_player
1.5,1.7,0.3,average_player
8.9,4.0,1.6,average_player
5.8,4.2,1.8,average_player
2.5,1.6,1.0,average_player
10.2,5.1,3.1,scorer
7.7,4.0,2.1,average_player
1.3,1.8,0.7,average_player
9.4,3.5,1.6,average_player
2.4,2.0,0.5,average_player
10.7,3.9,2.8,scorer
3.3,1.4,0.7,average_player
5.2,3.5,1.5,average_player
0.6,1.0,0.2,average_player
1.3,1.5,0.6,average_player
2.2,1.0,0.6,average_player
7.1,5.0,1.2,average_player
1.8,1.5,0.2,average_player
3.6,2.4,0.7,average_player
5.3,5.3,0.9,average_player
12.7,2.8,2.3,scorer
8.3,2.9,2.3,average_player
7.0,5.4,1.4,average_player
3.7,3.3,1.7,average_player
6.8,2.3,2.3,average_player
4.2,4.9,1.0,average_player
1.8,2.1,0.3,average_player
15.9,3.8,4.4,scorer
0.7,0.7,0.3,average_player
2.7,1.0,0.2,average_player
10.1,4.6,1.9,scorer
6.5,1.5,1.2,average_player
8.0,1.7,1.8,average_player
7.7,4.1,1.4,average_player
2.9,1.1,0.8,average_player
3.4,3.6,1.8,average_player
6.4,1.4,2.3,average_player
5.5,2.1,0.7,average_player
1.0,2.7,0.0,average_player
5.8,4.0,1.6,average_player
3.9,2.7,0.9,average_player
5.8,4.7,1.5,average_player
2.6,1.9,0.9,average_player
22.5,10.7,2.4,all_star
8.8,7.9,1.4,average_player
9.1,1.9,3.0,average_player
9.6,2.1,1.5,average_player
4.5,1.1,2.0,average_player
8.7,4.0,2.1,average_player
3.4,2.9,1.1,average_player
5.4,2.1,0.9,average_player
8.2,3.0,1.5,average_player
6.9,2.0,0.7,average_player
7.8,2.1,1.9,average_player
6.3,4.7,1.9,average_player
12.4,4.6,3.0,scorer
7.0,1.9,1.1,average_player
5.2,2.0,0.9,average_player
7.9,4.0,1.2,average_player
4.8,2.5,1.1,average_player
8.5,1.8,1.4,average_player
3.3,1.4,0.5,average_player
8.3,1.0,1.0,average_player
5.2,2.2,0.9,average_player
3.8,1.2,1.7,average_player
7.3,3.6,1.8,average_player
5.4,1.7,2.2,average_player
6.1,4.8,2.0,average_player
7.0,5.4,0.9,average_player
4.3,1.7,0.5,average_player
5.2,1.9,1.0,average_player
12.6,2.0,2.8,scorer
6.6,3.8,0.8,average_player
3.1,1.0,0.9,average_player
7.8,2.0,1.0,average_player
11.0,6.9,2.9,scorer
3.3,0,0.7,average_player
4.6,0,0.7,average_player
1.9,0,0.8,average_player
7.8,0,2.2,average_player
10.1,0,1.4,scorer
1.4,0,0.2,average_player
9.8,0,2.9,average_player
3.4,0,1.0,average_player
4.4,0,1.3,average_player
2.7,0,0.3,average_player
11.5,0,3.1,scorer
5.1,0,1.2,average_player
4.7,0,1.5,average_player
4.9,0,1.2,average_player
8.1,0,2.6,average_player
1.6,0,0.2,average_player
1.7,0,0.7,average_player
8.4,0,1.4,average_player
5.6,0,0.8,average_player
7.8,0,0.9,average_player
3.0,0,1.2,average_player
7.6,0,1.3,average_player
13.3,0,2.0,scorer
1.5,0,0.5,average_player
4.5,0,1.4,average_player
6.4,0,2.9,average_player
5.5,0,1.2,average_player
2.0,0,0.0,average_player
0.8,0,0.8,average_player
2.0,0,1.5,average_player
3.8,0,1.7,average_player
1.0,0,0.1,average_player
1.8,0,1.2,average_player
3.9,0,1.3,average_player
6.5,0,1.1,average_player
4.3,0,1.2,average_player
3.4,0,0.4,average_player
7.2,0,2.1,average_player
4.3,0,1.3,average_player
9.5,0,1.5,average_player
7.1,0,1.6,average_player
6.7,0,1.6,average_player
9.9,0,1.9,average_player
11.5,0,3.2,scorer
4.3,0,1.3,average_player
8.4,0,1.4,average_player
4.1,0,1.1,average_player
3.8,0,1.1,average_player
9.7,0,0.9,average_player
2.5,0,1.2,average_player
3.4,0,0.5,average_player
1.0,0,1.0,average_player
12.6,0,3.1,scorer
0.8,0,1.4,average_player
0.9,0,1.3,average_player
6.0,0,1.8,average_player
1.6,0,0.8,average_player
8.2,0,0.8,average_player
5.8,0,1.9,average_player
3.6,0,0.7,average_player
3.1,0,1.7,average_player
2.7,0,0.6,average_player
2.4,0,0.6,average_player
0.8,0,0.5,average_player
2.4,0,0.9,average_player
6.1,0,1.4,average_player
4.1,0,1.0,average_player
3.1,0,1.1,average_player
6.1,0,0.6,average_player
4.8,0,1.3,average_player
6.0,0,1.0,average_player
10.4,0,2.0,scorer
3.5,0,0.6,average_player
4.7,0,2.0,average_player
2.9,0,0.7,average_player
15.6,0,1.8,scorer
7.6,0,3.2,average_player
3.4,0,1.1,average_player
6.0,0,0.9,average_player
5.6,0,1.0,average_player
5.2,0,2.3,average_player
3.2,0,1.8,average_player
7.8,0,1.9,average_player
6.5,0,2.7,average_player
10.8,0,2.5,scorer
4.7,0,2.0,average_player
6.2,0,2.5,average_player
5.8,0,1.6,average_player
5.0,0,0.8,average_player
5.3,0,0.8,average_player
6.7,0,0.9,average_player
7.2,0,1.7,average_player
9.4,0,2.4,average_player
5.7,0,1.6,average_player
4.7,0,1.5,average_player
7.4,0,2.1,average_player
5.3,0,2.4,average_player
2.3,0,1.4,average_player
6.3,0,1.6,average_player
7.7,0,1.9,average_player
2.2,0,1.4,average_player
1.2,0,0.2,average_player
3.5,0,0.7,average_player
8.4,0,0.5,average_player
8.3,0,1.6,average_player
6.8,0,0.8,average_player
1.3,0,0.0,average_player
11.9,0,3.5,scorer
5.5,0,0.6,average_player
9.6,0,2.3,average_player
4.6,0,2.2,average_player
2.0,0,0.5,average_player
8.1,0,1.8,average_player
2.8,0,0.6,average_player
3.2,0,0.8,average_player
3.1,0,0.6,average_player
4.1,0,1.7,average_player
1.8,0,0.4,average_player
5.2,0,1.5,average_player
9.3,0,1.7,average_player
10.6,0,0.8,scorer
6.0,0,1.7,average_player
3.0,0,0.5,average_player
5.0,0,1.7,average_player
3.6,0,0.5,average_player
2.3,0,0.6,average_player
2.2,0,0.7,average_player
7.1,0,1.4,average_player
6.4,0,0.7,average_player
1.6,0,0.5,average_player
1.3,0,0.4,average_player
4.9,0,0.7,average_player
5.4,0,0.9,average_player
1.0,0,1.0,average_player
0.0,0,1.0,average_player
5.9,0,1.4,average_player
3.0,0,0.3,average_player
3.5,0,1.0,average_player
5.3,0,0.6,average_player
1.9,0,0.7,average_player
1.8,0,0.3,average_player
8.4,0,0.7,average_player
5.1,0,1.4,average_player
0.0,0,0.0,average_player
6.0,0,0.6,average_player
1.8,0,0.2,average_player
3.7,0,0.7,average_player
2.3,0,0.3,average_player
11.7,0,1.3,scorer
2.4,0,0.4,average_player
11.1,0,2.4,scorer
1.4,0,0.4,average_player
1.3,0,1.1,average_player
1.0,0,0.0,average_player
10.8,0,1.5,scorer
4.8,0,0.4,average_player
5.4,0,0.7,average_player
4.1,0,0.3,average_player
2.0,0,0.4,average_player
6.4,0,1.5,average_player
8.6,0,1.3,average_player
0.3,0,0.5,average_player
0.8,0,0.3,average_player
0.5,0,0.0,average_player
2.0,0,0.0,average_player
7.1,0,1.1,average_player
9.0,0,2.3,average_player
9.0,0,1.7,average_player
2.3,0,0.2,average_player
2.6,0,0.6,average_player
6.8,0,0.7,average_player
1.3,0,0.3,average_player
4.1,0,1.5,average_player
4.9,0,0.9,average_player
9.5,0,0.7,average_player
4.5,0,0.8,average_player
0.0,0,0.0,average_player
4.5,0,0.7,average_player
2.6,0,0.4,average_player
4.4,0,0.3,average_player
5.5,0,0.4,average_player
5.4,0,0.7,average_player
4.9,0,0.3,average_player
2.7,0,0.0,average_player
2.0,0,0.0,average_player
5.9,0,0.6,average_player
5.6,0,0.6,average_player
10.5,0,0.8,scorer
3.6,0,0.6,average_player
10.5,0,0.7,scorer
5.6,0,0.5,average_player
5.7,0,0.5,average_player
1.4,0,0.6,average_player
7.7,0,1.4,average_player
9.1,0,0.8,average_player
0.0,0,0.0,average_player
5.5,0,0.6,average_player
2.3,0,0.0,average_player
6.1,0,0.3,average_player
0.9,0,0.0,average_player
1.9,0,0.3,average_player
5.4,0,1.4,average_player
1.5,0,0.2,average_player
5.6,0,0.3,average_player
3.6,0,0.7,average_player
0.0,1.0,0.0,average_player
